game_id,season,season_type,team_id,team_tricode,minutes,pts,reb,ast,stl,blk,tov,fga,fgm,fg3a,fg3m,fta,ftm,plus_minus,source,fetched_at_utc
0022500666,2025-26,Regular Season,1610612755,PHI,240.0,139,52,35,7,5,6,101,53,42,22,15,11,0,cdn,2026-02-04T18:39:49.500551+00:00
0022500666,2025-26,Regular Season,1610612749,MIL,240.0,122,51,29,4,4,11,86,44,34,15,27,19,0,cdn,2026-02-04T18:39:49.500551+00:00
0022500667,2025-26,Regular Season,1610612760,OKC,240.0,104,62,25,4,9,16,87,35,38,13,23,21,0,cdn,2026-02-04T18:42:57.280994+00:00
0022500667,2025-26,Regular Season,1610612740,NOP,240.0,95,62,25,13,11,8,99,34,40,10,22,17,0,cdn,2026-02-04T18:42:57.280994+00:00
0022500668,2025-26,Regular Season,1610612743,DEN,240.0,107,57,22,4,9,15,84,40,29,10,23,17,0,cdn,2026-02-04T18:46:05.040043+00:00
0022500668,2025-26,Regular Season,1610612765,DET,240.0,109,47,24,10,3,6,94,44,31,6,18,15,0,cdn,2026-02-04T18:46:05.040043+00:00
0022500669,2025-26,Regular Season,1610612756,PHX,240.0,106,39,22,12,5,15,77,43,20,5,20,15,0,cdn,2026-02-04T18:49:12.664376+00:00
0022500669,2025-26,Regular Season,1610612751,BKN,240.0,102,44,28,9,2,20,75,38,32,13,19,13,0,cdn,2026-02-04T18:49:12.664376+00:00
0022500670,2025-26,Regular Season,1610612762,UTA,240.0,103,50,28,6,3,15,82,37,33,12,21,17,0,cdn,2026-02-04T18:52:25.014764+00:00
0022500670,2025-26,Regular Season,1610612746,LAC,240.0,115,52,27,10,3,11,88,41,46,18,21,15,0,cdn,2026-02-04T18:52:25.014764+00:00
0022500671,2025-26,Regular Season,1610612739,CLE,240.0,129,56,32,12,2,8,97,51,44,17,13,10,0,cdn,2026-02-04T18:55:37.111860+00:00
0022500671,2025-26,Regular Season,1610612747,LAL,240.0,99,41,21,7,3,16,81,39,32,9,18,12,0,cdn,2026-02-04T18:55:37.111860+00:00
0022500672,2025-26,Regular Season,1610612754,IND,240.0,113,50,30,7,3,6,85,38,36,15,25,22,0,cdn,2026-02-04T18:58:53.169147+00:00
0022500672,2025-26,Regular Season,1610612741,CHI,240.0,110,51,27,3,3,11,88,42,30,12,18,14,0,cdn,2026-02-04T18:58:53.169147+00:00
0022500673,2025-26,Regular Season,1610612738,BOS,240.0,106,55,21,3,6,16,89,42,34,9,16,13,0,cdn,2026-02-04T19:02:05.149400+00:00
0022500673,2025-26,Regular Season,1610612737,ATL,240.0,117,48,29,11,2,9,93,45,42,18,13,9,0,cdn,2026-02-04T19:02:05.149400+00:00
0022500674,2025-26,Regular Season,1610612748,MIA,240.0,124,52,27,6,5,18,88,44,34,15,23,21,0,cdn,2026-02-04T19:05:17.178782+00:00
0022500674,2025-26,Regular Season,1610612753,ORL,240.0,133,50,36,12,6,7,104,52,38,16,17,13,0,cdn,2026-02-04T19:05:17.178782+00:00
0022500675,2025-26,Regular Season,1610612761,TOR,240.0,92,48,20,9,8,20,79,30,26,7,29,25,0,cdn,2026-02-04T19:08:30.272186+00:00
0022500675,2025-26,Regular Season,1610612752,NYK,240.0,119,53,32,12,5,16,90,45,38,14,18,15,0,cdn,2026-02-04T19:08:30.272186+00:00
0022500676,2025-26,Regular Season,1610612763,MEM,240.0,97,40,27,10,7,12,81,37,40,14,12,9,0,cdn,2026-02-04T19:11:46.546180+00:00
0022500676,2025-26,Regular Season,1610612766,CHA,240.0,112,56,25,5,1,17,90,44,42,17,8,7,0,cdn,2026-02-04T19:11:46.546180+00:00
0022500677,2025-26,Regular Season,1610612742,DAL,240.0,105,65,22,6,3,17,84,38,18,3,39,26,0,cdn,2026-02-05T04:20:17.466331+00:00
0022500677,2025-26,Regular Season,1610612750,MIN,240.0,118,53,26,15,6,12,94,43,34,12,27,20,0,cdn,2026-02-05T04:20:17.466331+00:00
0022500678,2025-26,Regular Season,1610612762,UTA,240.0,124,44,38,16,3,19,90,44,38,15,24,21,0,cdn,2026-02-05T04:23:25.502755+00:00
0022500678,2025-26,Regular Season,1610612744,GSW,240.0,140,51,39,15,8,20,86,46,54,23,30,25,0,cdn,2026-02-05T04:23:25.502755+00:00
0022500679,2025-26,Regular Season,1610612745,HOU,240.0,99,57,23,12,8,11,99,39,23,8,18,13,0,cdn,2026-02-05T04:26:33.510013+00:00
0022500679,2025-26,Regular Season,1610612759,SAS,240.0,111,53,28,5,8,15,82,44,26,6,24,17,0,cdn,2026-02-05T04:26:33.510013+00:00
0022500680,2025-26,Regular Season,1610612755,PHI,240.0,113,28,25,8,3,9,72,39,25,8,31,27,0,cdn,2026-02-05T04:29:41.397105+00:00
0022500680,2025-26,Regular Season,1610612758,SAC,240.0,111,55,21,6,4,16,82,41,26,10,23,19,0,cdn,2026-02-05T04:29:41.397105+00:00
0022500681,2025-26,Regular Season,1610612764,WAS,240.0,109,66,21,8,7,13,96,38,35,8,28,25,0,cdn,2026-02-05T04:32:49.592992+00:00
0022500681,2025-26,Regular Season,1610612749,MIL,240.0,99,55,25,7,9,9,98,41,38,10,9,7,0,cdn,2026-02-05T04:32:49.592992+00:00
0022500682,2025-26,Regular Season,1610612737,ATL,240.0,86,51,19,7,5,12,93,34,39,12,7,6,0,cdn,2026-02-05T12:37:04.914994+00:00
0022500682,2025-26,Regular Season,1610612745,HOU,240.0,104,68,23,8,14,11,92,39,31,12,20,14,0,cdn,2026-02-05T12:37:04.914994+00:00
0022500683,2025-26,Regular Season,1610612742,DAL,240.0,121,56,26,7,8,8,103,48,33,11,16,14,0,cdn,2026-02-05T12:40:19.116600+00:00
0022500683,2025-26,Regular Season,1610612766,CHA,240.0,123,51,28,4,9,10,91,43,41,20,18,17,0,cdn,2026-02-05T12:40:19.116600+00:00
0022500684,2025-26,Regular Season,1610612743,DEN,240.0,107,50,24,6,4,6,80,38,26,13,25,18,0,cdn,2026-02-05T12:43:27.436820+00:00
0022500684,2025-26,Regular Season,1610612751,BKN,240.0,103,52,24,4,6,8,85,37,37,14,18,15,0,cdn,2026-02-05T12:43:27.436820+00:00
0022500685,2025-26,Regular Season,1610612756,PHX,240.0,114,58,22,8,3,15,79,37,42,16,29,24,0,cdn,2026-02-05T12:46:35.640635+00:00
0022500685,2025-26,Regular Season,1610612765,DET,240.0,96,45,26,8,2,9,87,37,29,6,21,16,0,cdn,2026-02-05T12:46:35.640635+00:00
0022500686,2025-26,Regular Season,1610612750,MIN,240.0,123,57,26,12,7,19,89,45,47,22,18,11,0,cdn,2026-02-05T12:49:43.689719+00:00
0022500686,2025-26,Regular Season,1610612760,OKC,240.0,111,42,27,11,5,15,86,41,31,11,20,18,0,cdn,2026-02-05T12:49:43.689719+00:00
0022500687,2025-26,Regular Season,1610612753,ORL,240.0,130,41,28,7,3,12,78,40,34,17,37,33,0,cdn,2026-02-05T12:52:51.969982+00:00
0022500687,2025-26,Regular Season,1610612761,TOR,240.0,120,48,33,8,6,13,84,44,28,7,32,25,0,cdn,2026-02-05T12:52:51.969982+00:00
0022500688,2025-26,Regular Season,1610612764,WAS,240.0,111,44,28,10,4,18,99,44,48,16,10,7,0,cdn,2026-02-05T12:56:00.186556+00:00
0022500688,2025-26,Regular Season,1610612747,LAL,240.0,142,55,38,17,4,16,85,52,33,14,32,24,0,cdn,2026-02-05T12:56:00.186556+00:00
0022500689,2025-26,Regular Season,1610612738,BOS,240.0,112,53,25,7,5,7,93,42,48,18,16,10,0,cdn,2026-02-05T12:59:08.504205+00:00
0022500689,2025-26,Regular Season,1610612758,SAC,240.0,93,58,19,4,6,14,83,31,31,10,23,21,0,cdn,2026-02-05T12:59:08.504205+00:00
0022500690,2025-26,Regular Season,1610612752,NYK,240.0,127,58,29,9,3,13,99,48,45,19,14,12,0,cdn,2026-02-05T13:01:31.657688+00:00
0022500690,2025-26,Regular Season,1610612757,POR,240.0,97,47,23,5,5,20,81,35,43,13,19,14,0,cdn,2026-02-05T13:01:31.657688+00:00
0022500691,2025-26,Regular Season,1610612740,NOP,240.0,114,55,24,13,6,15,88,43,33,8,26,20,0,cdn,2026-02-05T13:04:40.177979+00:00
0022500691,2025-26,Regular Season,1610612763,MEM,240.0,106,51,26,11,3,19,93,40,41,12,15,14,0,cdn,2026-02-05T13:04:40.177979+00:00
0022500693,2025-26,Regular Season,1610612756,PHX,240.0,126,49,31,15,5,20,85,45,48,23,18,13,0,cdn,2026-02-05T13:07:48.595211+00:00
0022500693,2025-26,Regular Season,1610612739,CLE,240.0,113,52,34,13,2,22,97,45,48,15,11,8,0,cdn,2026-02-05T13:07:48.595211+00:00
0022500694,2025-26,Regular Season,1610612762,UTA,240.0,99,42,26,6,4,11,78,39,29,10,19,11,0,cdn,2026-02-05T13:11:01.105027+00:00
0022500694,2025-26,Regular Season,1610612751,BKN,240.0,109,60,27,6,5,12,82,39,40,14,28,17,0,cdn,2026-02-05T13:11:01.105027+00:00
0022500695,2025-26,Regular Season,1610612743,DEN,240.0,122,51,30,7,4,12,73,40,28,16,32,26,0,cdn,2026-02-05T13:14:09.936455+00:00
0022500695,2025-26,Regular Season,1610612746,LAC,240.0,109,42,29,7,3,9,86,40,40,14,21,15,0,cdn,2026-02-05T13:14:09.936455+00:00
0022500696,2025-26,Regular Season,1610612744,GSW,240.0,124,54,31,10,4,18,90,40,52,18,35,26,0,cdn,2026-02-05T13:17:18.359226+00:00
0022500696,2025-26,Regular Season,1610612765,DET,240.0,131,61,31,13,3,14,95,46,26,10,36,29,0,cdn,2026-02-05T13:17:18.359226+00:00
