player_id,player_name,team_abbr,def_fg_pct,def_fga,player_position,season
1630543,Isaiah Jackson,IND,0.469,407,F,2023-24
1629659,Talen Horton-Tucker,UTA,0.498,406,G,2023-24
1630256,Jae'Sean Tate,HOU,0.429,406,F,2023-24
1630165,Killian Hayes,DET,0.533,403,G,2023-24
1631107,Nikola Jović,MIA,0.488,402,F,2023-24
1641713,GG Jackson,MEM,0.489,401,F,2023-24
203995,Vasilije Micic,CHA,0.504,401,G,2023-24
1630558,Davion Mitchell,SAC,0.485,400,G,2023-24
1641707,Taylor Hendricks,UTA,0.519,397,F,2023-24
1631165,Keon Ellis,SAC,0.455,396,G,2023-24
202330,Gordon Hayward,OKC,0.454,390,F,2023-24
202692,Alec Burks,NYK,0.477,390,G,2023-24
1630544,Tre Mann,CHA,0.515,388,G,2023-24
1628964,Mo Bamba,PHI,0.499,387,C,2023-24
203914,Gary Harris,ORL,0.478,387,G,2023-24
201567,Kevin Love,MIA,0.466,384,F-C,2023-24
203926,Doug McDermott,IND,0.499,381,F,2023-24
1630533,Ziaire Williams,MEM,0.488,381,F,2023-24
1629026,Kenrich Williams,OKC,0.532,380,G-F,2023-24
203957,Danté Exum,DAL,0.515,379,G,2023-24
1631200,Kris Murray,POR,0.488,377,F,2023-24
1629006,Josh Okogie,PHX,0.473,376,G,2023-24
1630201,Malachi Flynn,DET,0.52,375,G,2023-24
1628972,Troy Brown Jr.,DET,0.556,372,G-F,2023-24
1627763,Malcolm Brogdon,POR,0.481,370,G,2023-24
1631101,Shaedon Sharpe,POR,0.528,369,G,2023-24
1630631,Jose Alvarado,NOP,0.44,364,G,2023-24
1629629,Cam Reddish,LAL,0.51,363,F-G,2023-24
1630570,Trendon Watford,BKN,0.49,363,F,2023-24
1628975,Jevon Carter,CHI,0.472,362,G,2023-24
1629726,Garrison Mathews,ATL,0.497,360,G,2023-24
1629011,Mitchell Robinson,NYK,0.521,359,C-F,2023-24
1628371,Jonathan Isaac,ORL,0.421,354,F,2023-24
1630537,Chris Duarte,SAC,0.497,352,G,2023-24
1629656,Quentin Grimes,DET,0.487,345,G,2023-24
1629002,Chimezie Metu,DET,0.462,344,F-C,2023-24
1628379,Luke Kennard,MEM,0.517,344,G,2023-24
1630625,Dalano Banton,POR,0.46,341,F,2023-24
1631104,Blake Wesley,SAS,0.506,336,G,2023-24
1631222,Jake LaRavia,MEM,0.496,335,F,2023-24
1630241,Sam Merrill,CLE,0.417,331,G,2023-24
1630702,Jaden Hardy,DAL,0.529,329,G,2023-24
1629022,Lonnie Walker IV,BKN,0.423,324,G-F,2023-24
1628365,Markelle Fultz,ORL,0.503,320,G,2023-24
1631121,Bryce McGowens,CHA,0.464,319,G,2023-24
1630550,JT Thor,CHA,0.489,313,F,2023-24
1628981,Bruno Fernando,ATL,0.529,312,F-C,2023-24
1628998,Cody Martin,CHA,0.434,311,F,2023-24
1629013,Landry Shamet,WAS,0.498,307,G,2023-24
202397,Ish Smith,CHA,0.505,307,G,2023-24
1641998,Trey Jemison III,MEM,0.484,306,C,2023-24
203488,Mike Muscala,OKC,0.5,306,F-C,2023-24
1630192,Zeke Nnaji,DEN,0.421,304,F-C,2023-24
1628449,Chris Boucher,TOR,0.481,297,F,2023-24
203897,Zach LaVine,CHI,0.464,293,G,2023-24
1641767,Ben Sheppard,IND,0.5,292,G,2023-24
1626153,Delon Wright,MIA,0.488,287,G,2023-24
1629670,Jordan Nwora,TOR,0.466,283,F,2023-24
1628966,Keita Bates-Diop,BKN,0.452,281,F,2023-24
203200,Justin Holiday,DEN,0.429,280,F-G,2023-24
204060,Joe Ingles,ORL,0.475,278,F-G,2023-24
1630209,Omer Yurtseven,UTA,0.56,273,C,2023-24
202722,Davis Bertans,CHA,0.491,271,F,2023-24
1631109,Mark Williams,CHA,0.535,269,C,2023-24
202694,Marcus Morris Sr.,CLE,0.509,269,F,2023-24
201568,Danilo Gallinari,MIL,0.519,268,F,2023-24
1641715,Cam Whitmore,HOU,0.481,264,F,2023-24
1631230,Dominick Barlow,SAS,0.498,263,F,2023-24
202684,Tristan Thompson,CLE,0.438,260,C-F,2023-24
1627780,Gary Payton II,GSW,0.444,259,G,2023-24
1630699,MarJon Beauchamp,MIL,0.457,256,F,2023-24
1630579,Jericho Sims,NYK,0.512,256,C,2023-24
1626158,Richaun Holmes,WAS,0.545,255,F,2023-24
1629667,Jalen McDaniels,TOR,0.48,254,F,2023-24
1641854,Craig Porter Jr.,CLE,0.496,254,G,2023-24
1641733,Nick Smith Jr.,CHA,0.484,248,G,2023-24
1630205,Lamar Stevens,MEM,0.456,241,F,2023-24
1631216,Caleb Houstan,ORL,0.472,235,G,2023-24
1630231,KJ Martin,PHI,0.491,234,F,2023-24
1631367,Jacob Gilyard,BKN,0.524,233,G,2023-24
1631260,AJ Green,MIL,0.47,230,G,2023-24
203458,Alex Len,SAC,0.47,230,C,2023-24
1630215,Jared Butler,WAS,0.476,229,G,2023-24
1630590,Scotty Pippen Jr.,MEM,0.458,227,G,2023-24
1631207,Dalen Terry,CHI,0.409,225,F,2023-24
1630572,Sandro Mamukelashvili,SAS,0.475,223,F-C,2023-24
1629052,Oshae Brissett,BOS,0.448,223,F-G,2023-24
1630592,Jalen Wilson,BKN,0.455,220,F,2023-24
1630264,Anthony Gill,WAS,0.512,215,F,2023-24
1628426,Sasha Vezenkov,SAC,0.477,214,F,2023-24
1630538,Bones Hyland,LAC,0.5,212,G,2023-24
1630163,LaMelo Ball,CHA,0.585,212,G,2023-24
1631098,Johnny Davis,WAS,0.538,210,G,2023-24
203095,Evan Fournier,DET,0.481,210,G-F,2023-24
1629020,Jarred Vanderbilt,LAL,0.514,210,F,2023-24
1641729,Brice Sensabaugh,UTA,0.467,210,F,2023-24
1629626,Bol Bol,PHX,0.37,208,C-F,2023-24
1627863,Danuel House Jr.,PHI,0.452,208,F-G,2023-24
1628418,Thomas Bryant,MIA,0.558,208,C-F,2023-24
1641748,Andre Jackson Jr.,MIL,0.543,208,G,2023-24
200782,P.J. Tucker,LAC,0.456,206,F,2023-24
1629007,Jontay Porter,DET,0.519,206,C-F,2023-24
201152,Thaddeus Young,PHX,0.5,204,F,2023-24
1631116,Patrick Baldwin Jr.,WAS,0.478,203,F,2023-24
1629674,Neemias Queta,BOS,0.45,202,C,2023-24
1629162,Jordan McLaughlin,MIN,0.463,201,G,2023-24
1630197,Aleksej Pokusevski,CHA,0.5,200,F,2023-24
1630249,Vít Krejčí,ATL,0.51,200,G,2023-24
