player_name,player_std
Julian Phillips,3.968252366389657
Julian Strawther,5.972234290245354
Julius Randle,7.583358491283794
Justin Champagnie,7.026537537101006
Justin Edwards,5.795151332461639
Jusuf Nurkić,5.9755001319798735
KJ Simpson,3.9955744749178916
Karl-Anthony Towns,8.649375516570295
Karlo Matković,4.6980392272356735
Kawhi Leonard,6.9321943963608055
Keaton Wallace,6.460134157533676
Keegan Murray,6.978255543360732
Kel'el Ware,5.744897167583386
Keldon Johnson,6.711921562975697
Kelly Olynyk,5.38874100333553
Kelly Oubre Jr.,6.7919774406785525
Kenrich Williams,4.22028169190815
Kentavious Caldwell-Pope,5.438417174611907
Keon Ellis,6.118461453149869
Keshad Johnson,7.314369419163897
Kevin Durant,7.090299073902337
Kevin Huerter,6.616299809112926
Kevin Love,5.642479669593279
Kevin Porter Jr.,6.577131125814192
Kevon Looney,3.1252050292453037
Keyonte George,7.2427746027564295
Klay Thompson,7.61806593426941
Kobe Brown,2.5
Kris Dunn,3.7925954912862436
Kris Murray,4.773867107758074
Kristaps Porziņģis,6.39228739185764
Kyle Anderson,3.8352786021192227
Kyle Filipowski,6.843514147021727
Kyle Kuzma,7.631953201993533
Kyle Lowry,5.840383894369739
Kyrie Irving,8.38702598798921
Kyshawn George,5.45231764436921
LaMelo Ball,9.309001569875088
Landry Shamet,5.4289213859201055
Larry Nance Jr.,4.935621577912996
Lauri Markkanen,7.148215858978744
LeBron James,7.075691766558067
Lindy Waters III,4.676631915807504
Lonzo Ball,4.490731195102493
Luguentz Dort,5.740799869784055
Luka Dončić,9.041171697004339
Luka Garza,4.3479032594250935
Luke Kennard,6.499318022052241
Luke Kornet,4.718898176481455
Luke Travers,2.8284271247461903
Malaki Branham,6.197877901039233
Marcus Sasser,6.154253571911008
Marcus Smart,7.238317116036327
Mark Williams,6.806734904346955
Marvin Bagley III,7.13821579587581
Mason Plumlee,3.789762778626813
Matas Buzelis,6.421624956406699
Matisse Thybulle,4.431232086607856
Max Christie,5.548250587087287
Max Strus,5.790972526470427
Maxi Kleber,4.144822886643808
Michael Porter Jr.,6.494807492227598
Mikal Bridges,7.9551411856906284
Mike Conley,5.353026695677612
Miles Bridges,7.578801007423006
Miles McBride,6.57323546423139
Monté Morris,3.7437686007898345
Moritz Wagner,5.715263985525292
Mouhamed Gueye,4.0389117199777225
Moussa Diabaté,4.661612789884731
Myles Turner,6.060653358551376
Naji Marshall,7.385487076343625
Neemias Queta,4.199890746017212
Nic Claxton,4.559800347948718
Nick Smith Jr.,6.683895229994598
Nickeil Alexander-Walker,5.38870621353602
Nicolas Batum,4.032952053245802
Nikola Jokić,9.097572320400028
Nikola Jović,5.914527203297201
Nikola Vučević,6.678825842039704
Noah Clowney,6.368253010489671
Norman Powell,7.963328649164441
OG Anunoby,7.727062756027322
Obi Toppin,6.14036692391138
Ochai Agbaji,5.783850465619889
Olivier-Maxence Prosper,4.849263533799217
Onyeka Okongwu,5.959520192821118
Oscar Tshiebwe,5.728054299725698
Oso Ighodaro,3.3965380298526457
Ousmane Dieng,4.8415282174356875
P.J. Washington,7.581263761675201
PJ Hall,2.5
Pacôme Dadiet,2.669269563007828
Paolo Banchero,8.085320883743789
Pascal Siakam,6.226467003070033
Pat Connaughton,5.036404239139735
Pat Spencer,3.988007231772815
Patrick Williams,5.169993976717791
Paul George,8.116843609627466
Payton Pritchard,8.260780950796619
Pelle Larsson,4.58202460654125
Pete Nance,5.810648532103483
Peyton Watson,4.879940134866132
Precious Achiuwa,5.665686189686118
Quentin Grimes,9.653063461042228
Quenton Jackson,5.9237214815077355
Quinten Post,5.111557902787406
RJ Barrett,6.71627544068498
