game_id,season,season_type,date_utc,home_team_id,away_team_id,final_score_home,final_score_away,status,source
0022500150,2025-26,Regular Season,2025-11-02T23:00:00Z,1610612766,1610612762,126,103,FINAL,cdn
0022500151,2025-26,Regular Season,2025-11-02T23:00:00Z,1610612739,1610612737,117,109,FINAL,cdn
0022500152,2025-26,Regular Season,2025-11-02T23:00:00Z,1610612761,1610612763,117,104,FINAL,cdn
0022500153,2025-26,Regular Season,2025-11-03T00:00:00Z,1610612752,1610612741,128,116,FINAL,cdn
0022500154,2025-26,Regular Season,2025-11-03T01:00:00Z,1610612756,1610612759,130,118,FINAL,cdn
0022500155,2025-26,Regular Season,2025-11-03T02:30:00Z,1610612747,1610612748,130,120,FINAL,cdn
0022500156,2025-26,Regular Season,2025-11-04T00:00:00Z,1610612751,1610612750,109,125,FINAL,cdn
0022500157,2025-26,Regular Season,2025-11-04T00:00:00Z,1610612754,1610612749,115,117,FINAL,cdn
0022500158,2025-26,Regular Season,2025-11-04T00:30:00Z,1610612738,1610612762,103,105,FINAL,cdn
0022500159,2025-26,Regular Season,2025-11-04T00:30:00Z,1610612752,1610612764,119,102,FINAL,cdn
0022500160,2025-26,Regular Season,2025-11-04T01:00:00Z,1610612745,1610612742,110,102,FINAL,cdn
0022500161,2025-26,Regular Season,2025-11-04T01:00:00Z,1610612763,1610612765,106,114,FINAL,cdn
0022500162,2025-26,Regular Season,2025-11-04T02:00:00Z,1610612743,1610612758,130,124,FINAL,cdn
0022500163,2025-26,Regular Season,2025-11-04T03:00:00Z,1610612757,1610612747,115,123,FINAL,cdn
0022500164,2025-26,Regular Season,2025-11-04T03:30:00Z,1610612746,1610612748,119,120,FINAL,cdn
0022500165,2025-26,Regular Season,2025-11-05T00:30:00Z,1610612761,1610612749,128,100,FINAL,cdn
0022500166,2025-26,Regular Season,2025-11-05T01:00:00Z,1610612737,1610612753,127,112,FINAL,cdn
0022500167,2025-26,Regular Season,2025-11-05T01:00:00Z,1610612741,1610612755,113,111,FINAL,cdn
0022500168,2025-26,Regular Season,2025-11-05T01:00:00Z,1610612740,1610612766,116,112,FINAL,cdn
0022500169,2025-26,Regular Season,2025-11-05T03:00:00Z,1610612744,1610612756,118,107,FINAL,cdn
0022500170,2025-26,Regular Season,2025-11-05T04:00:00Z,1610612746,1610612760,107,126,FINAL,cdn
0022500171,2025-26,Regular Season,2025-11-06T00:00:00Z,1610612739,1610612755,132,121,FINAL,cdn
0022500172,2025-26,Regular Season,2025-11-06T00:00:00Z,1610612765,1610612762,114,103,FINAL,cdn
0022500173,2025-26,Regular Season,2025-11-06T00:00:00Z,1610612754,1610612751,103,112,FINAL,cdn
0022500174,2025-26,Regular Season,2025-11-06T00:30:00Z,1610612738,1610612764,136,107,FINAL,cdn
0022500175,2025-26,Regular Season,2025-11-06T00:30:00Z,1610612752,1610612750,137,114,FINAL,cdn
0022500176,2025-26,Regular Season,2025-11-06T01:00:00Z,1610612763,1610612745,109,124,FINAL,cdn
0022500177,2025-26,Regular Season,2025-11-06T01:30:00Z,1610612742,1610612740,99,101,FINAL,cdn
0022500178,2025-26,Regular Season,2025-11-06T02:00:00Z,1610612743,1610612748,122,112,FINAL,cdn
0022500179,2025-26,Regular Season,2025-11-06T03:00:00Z,1610612747,1610612759,118,116,FINAL,cdn
0022500180,2025-26,Regular Season,2025-11-06T03:00:00Z,1610612757,1610612760,121,119,FINAL,cdn
