game_id,season,season_type,team_id,team_tricode,minutes,pts,reb,ast,stl,blk,tov,fga,fgm,fg3a,fg3m,fta,ftm,plus_minus,source
0022500472,2025-26,Regular Season,1610612765,DET,240.0,112,46,25,11,9,20,80,38,26,9,31,27,0,cdn
0022500472,2025-26,Regular Season,1610612748,MIA,240.0,118,58,25,14,6,18,99,43,39,14,20,18,0,cdn
0022500473,2025-26,Regular Season,1610612742,DAL,240.0,108,52,23,8,1,13,94,42,28,6,20,18,0,cdn
0022500473,2025-26,Regular Season,1610612755,PHI,240.0,123,46,22,10,7,11,90,48,36,13,16,14,0,cdn
0022500474,2025-26,Regular Season,1610612758,SAC,240.0,106,39,29,7,2,9,85,40,36,12,15,14,0,cdn
0022500474,2025-26,Regular Season,1610612738,BOS,240.0,120,54,25,8,6,12,87,44,41,17,18,15,0,cdn
0022500475,2025-26,Regular Season,1610612746,LAC,240.0,118,56,20,8,7,12,89,40,51,16,26,22,0,cdn
0022500475,2025-26,Regular Season,1610612762,UTA,240.0,101,48,20,7,5,18,78,36,27,6,30,23,0,cdn
0022500486,2025-26,Regular Season,1610612748,MIA,240.0,115,45,27,7,2,18,87,41,37,14,22,19,0,cdn
0022500486,2025-26,Regular Season,1610612750,MIN,240.0,125,47,26,9,5,14,85,46,38,11,25,22,0,cdn
0022500487,2025-26,Regular Season,1610612752,NYK,240.0,119,47,23,9,2,16,89,38,40,16,32,27,0,cdn
0022500487,2025-26,Regular Season,1610612755,PHI,240.0,130,58,25,7,10,13,90,49,36,17,23,15,0,cdn
0022500488,2025-26,Regular Season,1610612761,TOR,240.0,134,54,28,10,8,14,92,49,31,12,26,24,0,cdn
0022500488,2025-26,Regular Season,1610612737,ATL,240.0,117,45,32,10,3,15,91,42,39,17,19,16,0,cdn
0022500489,2025-26,Regular Season,1610612741,CHI,240.0,99,47,32,9,5,11,87,39,41,11,14,10,0,cdn
0022500489,2025-26,Regular Season,1610612766,CHA,240.0,112,62,23,7,3,11,91,39,41,15,23,19,0,cdn
0022500490,2025-26,Regular Season,1610612759,SAS,240.0,110,53,27,8,7,6,93,40,31,10,23,20,0,cdn
0022500490,2025-26,Regular Season,1610612757,POR,240.0,115,68,24,3,4,11,92,40,45,19,27,16,0,cdn
0022500491,2025-26,Regular Season,1610612742,DAL,240.0,110,51,24,6,10,15,80,44,21,8,18,14,0,cdn
0022500491,2025-26,Regular Season,1610612745,HOU,240.0,104,59,24,13,7,9,106,41,41,10,15,12,0,cdn
0022500492,2025-26,Regular Season,1610612744,GSW,240.0,123,57,32,9,2,14,87,43,45,19,24,18,0,cdn
0022500492,2025-26,Regular Season,1610612762,UTA,240.0,114,41,32,7,2,15,86,45,35,13,17,11,0,cdn
0022500493,2025-26,Regular Season,1610612746,LAC,240.0,115,35,26,4,4,9,84,42,38,15,17,16,0,cdn
0022500493,2025-26,Regular Season,1610612738,BOS,240.0,146,54,30,4,6,6,96,53,51,24,19,16,0,cdn
0022500494,2025-26,Regular Season,1610612739,CLE,240.0,110,50,23,11,10,17,80,35,42,14,30,26,0,cdn
